details_url,authority,bis_number,object,address,construction_type,phase,id
https://bis.gov.lv/bisp/lv/planned_constructions/99859,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-99859-55,Vienģimenes dzīvojamā ēka,"Pleskodāles iela 9, Rīga, LV-1046",Jauna būvniecība,Būvdarbu uzsākšanas nosacījumu izpilde,bis:BIS-BL-99859-55
https://bis.gov.lv/bisp/lv/planned_constructions/99224,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-99224-156,Dzīvojamā ēka,"Nometņu iela 45, Rīga, LV-1002",Pārbūve,Būvdarbu uzsākšanas nosacījumu izpilde,bis:BIS-BL-99224-156
https://bis.gov.lv/bisp/lv/planned_constructions/96703,Jūrmalas Būvvalde,BIS-BL-96703-5794,"AS ""Sadales tīkls"" elektroietaises","Meža prospekts 14, Jūrmala, LV-2010",Jauna būvniecība,Būvdarbu uzsākšanas nosacījumu izpilde,bis:BIS-BL-96703-5794
https://bis.gov.lv/bisp/lv/planned_constructions/93895,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-93895-170,Biroju ēka Hanzas 14,"Hanzas iela 10, Rīga, LV-1010",Jauna būvniecība,Būvdarbu uzsākšanas nosacījumu izpilde,bis:BIS-BL-93895-170
https://bis.gov.lv/bisp/lv/planned_constructions/900529,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-900529-119475,Žoga izbūve,"Rušonu iela 28, Rīga, LV-1057",Jauna būvniecība,Iecere,bis:BIS-BL-900529-119475
https://bis.gov.lv/bisp/lv/planned_constructions/900452,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-900452-119444,Dzīvoklis nr. 26,"Marijas iela 20-26, Rīga, LV-1011",Vienkāršota pārbūve,Iecere,bis:BIS-BL-900452-119444
https://bis.gov.lv/bisp/lv/planned_constructions/900448,Mārupes novada Būvvalde,BIS-BL-900448-13970,"Dīķa izbūve ""Bindari 3"", Varkaļos","""Bindari 3"", Varkaļi, Salas pag., Mārupes nov., LV-2105",Jauna būvniecība,Iecere,bis:BIS-BL-900448-13970
https://bis.gov.lv/bisp/lv/planned_constructions/900384,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-900384-119437,Ražošanas ēka,"Zemitāna iela 5, Rīga, LV-1012",Vienkāršota atjaunošana,Iecere,bis:BIS-BL-900384-119437
https://bis.gov.lv/bisp/lv/planned_constructions/900360,OLAINES NOVADA PAŠVALDĪBAS BŪVVALDE,BIS-BL-900360-15991,Nobrauktuve,,Jauna būvniecība,Iecere,bis:BIS-BL-900360-15991
https://bis.gov.lv/bisp/lv/planned_constructions/900300,Ādažu novada būvvalde,BIS-BL-900300-12425,Dzīvojamā māja,"Ezera iela 11, Siguļi, Carnikavas pag., Ādažu nov., LV-2163",Jauna būvniecība,Iecere,bis:BIS-BL-900300-12425
https://bis.gov.lv/bisp/lv/planned_constructions/900264,"Salaspils novada pašvaldības iestāde ""Salaspils novada Būvvalde""",BIS-BL-900264-11285,telpu grupa skaistumk.pakalpojumu sniegšanai,"Silmaļu iela 16, Salaspils, Salaspils nov., LV-2121",Vienkāršota pārbūve,Iecere,bis:BIS-BL-900264-11285
https://bis.gov.lv/bisp/lv/planned_constructions/900047,Siguldas novada būvvalde,BIS-BL-900047-21013,Saimniecības ēka,"""Vecrentes"", Lēdurgas pag., Siguldas nov., LV-4012",Jauna būvniecība,Iecere,bis:BIS-BL-900047-21013
https://bis.gov.lv/bisp/lv/planned_constructions/899964,"Salaspils novada pašvaldības iestāde ""Salaspils novada Būvvalde""",BIS-BL-899964-11272,-,"Vītolu iela 1-1, Salaspils, Salaspils nov., LV-2169",Vienkāršota atjaunošana,Iecere,bis:BIS-BL-899964-11272
https://bis.gov.lv/bisp/lv/planned_constructions/899956,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-899956-119367,-,"Biķernieku iela 179 k-12, Rīga, LV-1079",Pārbūve,Iecere,bis:BIS-BL-899956-119367
https://bis.gov.lv/bisp/lv/planned_constructions/899900,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-899900-119342,-,"Augļu iela 3A, Rīga, LV-1002",Vienkāršota atjaunošana,Iecere,bis:BIS-BL-899900-119342
https://bis.gov.lv/bisp/lv/planned_constructions/899802,Jūrmalas Būvvalde,BIS-BL-899802-23040,DZĪVOJAMĀ MĀJA - SAVRUPMĀJA,"Leona Paegles iela 34A, Jūrmala, LV-2011",Pārbūve,Iecere,bis:BIS-BL-899802-23040
https://bis.gov.lv/bisp/lv/planned_constructions/899778,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-899778-119374,Dzīvojamā māja,"Bajāru iela 38, Rīga, LV-1006",Vienkāršota pārbūve,Iecere,bis:BIS-BL-899778-119374
https://bis.gov.lv/bisp/lv/planned_constructions/899775,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-899775-119417,-,"Dārziņu 24. līnija 50, Rīga, LV-1063",Jauna būvniecība,Iecere,bis:BIS-BL-899775-119417
https://bis.gov.lv/bisp/lv/planned_constructions/899736,Siguldas novada būvvalde,BIS-BL-899736-21001,"""Kases ēka""","""Loras parks"", Sigulda, Siguldas nov., LV-2150",Jauna būvniecība,Iecere,bis:BIS-BL-899736-21001
https://bis.gov.lv/bisp/lv/planned_constructions/899663,Ropažu novada pašvaldības būvvalde,BIS-BL-899663-12653,Dzīvojamā māja,"Muižas iela 2, Bukulti, Garkalnes pag., Ropažu nov., LV-1024",Jauna būvniecība,Iecere,bis:BIS-BL-899663-12653
https://bis.gov.lv/bisp/lv/planned_constructions/899662,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-899662-119416,"Kanalizācija, ārējie tīkli","Beberbeķu iela 34E, Rīga, LV-1029",Jauna būvniecība,Iecere,bis:BIS-BL-899662-119416
https://bis.gov.lv/bisp/lv/planned_constructions/899646,OLAINES NOVADA PAŠVALDĪBAS BŪVVALDE,BIS-BL-899646-15990,Dzīvojamā ēka,"Siliņu iela 15, Jaunolaine, Olaines pag., Olaines nov., LV-2127",Jauna būvniecība,Iecere,bis:BIS-BL-899646-15990
https://bis.gov.lv/bisp/lv/planned_constructions/899642,Siguldas novada būvvalde,BIS-BL-899642-21000,Apartamentu viesnīca,"Ausekļa iela 2, Sigulda, Siguldas nov., LV-2150",Jauna būvniecība,Iecere,bis:BIS-BL-899642-21000
https://bis.gov.lv/bisp/lv/planned_constructions/899619,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-899619-119442,Biroju ēka,"Biķernieku iela 17, Rīga, LV-1039",Vienkāršota atjaunošana,Iecere,bis:BIS-BL-899619-119442
https://bis.gov.lv/bisp/lv/planned_constructions/899577,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-899577-119322,Daudzdzīvokļu māja,"Pūces iela 16, Rīga, LV-1082",Jauna būvniecība,Iecere,bis:BIS-BL-899577-119322
https://bis.gov.lv/bisp/lv/planned_constructions/899557,Siguldas novada būvvalde,BIS-BL-899557-20993,Garāža,"Pavasara iela 11, Sigulda, Siguldas nov., LV-2150",Jauna būvniecība,Iecere,bis:BIS-BL-899557-20993
https://bis.gov.lv/bisp/lv/planned_constructions/899358,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-899358-119290,-,"Baznīcas iela 34-7, Rīga, LV-1010",Vienkāršota atjaunošana,Iecere,bis:BIS-BL-899358-119290
https://bis.gov.lv/bisp/lv/planned_constructions/899293,Jūrmalas Būvvalde,BIS-BL-899293-23030,-,"30. līnija 1, Jūrmala, LV-2010",Vienkāršota atjaunošana,Iecere,bis:BIS-BL-899293-23030
https://bis.gov.lv/bisp/lv/planned_constructions/899239,Mārupes novada Būvvalde,BIS-BL-899239-13942,Divu dzīvokļu dzīvojamās mājas jaunbūve,"Cīniju iela 4, Piņķi, Babītes pag., Mārupes nov., LV-2107",Jauna būvniecība,Iecere,bis:BIS-BL-899239-13942
https://bis.gov.lv/bisp/lv/planned_constructions/899206,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-899206-119399,-,"Čiekurkalna 2. līnija 13, Rīga, LV-1026",Pārbūve,Iecere,bis:BIS-BL-899206-119399
https://bis.gov.lv/bisp/lv/planned_constructions/899200,Ropažu novada pašvaldības būvvalde,BIS-BL-899200-12655,-,"""Zvaniņi"", Ropaži, Ropažu pag., Ropažu nov., LV-2135",Pārbūve,Iecere,bis:BIS-BL-899200-12655
https://bis.gov.lv/bisp/lv/planned_constructions/899193,OLAINES NOVADA PAŠVALDĪBAS BŪVVALDE,BIS-BL-899193-15963,Atpūtas namiņš,,Jauna būvniecība,Iecere,bis:BIS-BL-899193-15963
https://bis.gov.lv/bisp/lv/planned_constructions/899166,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-899166-119318,dzīvoklis,"Kurzemes prospekts 86-129, Rīga, LV-1067",Atjaunošana,Iecere,bis:BIS-BL-899166-119318
https://bis.gov.lv/bisp/lv/planned_constructions/899144,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-899144-119247,Dzīvojamā māja,"Ziemeļu iela 19, Rīga, LV-1005",Vienkāršota pārbūve,Iecere,bis:BIS-BL-899144-119247
https://bis.gov.lv/bisp/lv/planned_constructions/899138,Ogres novada pašvaldības centrālās administrācijas Ogres novada būvvalde,BIS-BL-899138-16780,dzīvojamā māja,"Gobu iela 20, Ikšķile, Ogres nov., LV-5052",Jauna būvniecība,Iecere,bis:BIS-BL-899138-16780
https://bis.gov.lv/bisp/lv/planned_constructions/899125,Ropažu novada pašvaldības būvvalde,BIS-BL-899125-12656,Dzīvojamā māja,"Elzas iela 1, Baltezers, Garkalnes pag., Ropažu nov., LV-2164",Jauna būvniecība,Iecere,bis:BIS-BL-899125-12656
https://bis.gov.lv/bisp/lv/planned_constructions/899096,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-899096-119272,Daudzdzīvokļu dzīvojamā ēka,"Lokomotīves iela 78-30, Rīga, LV-1057",Vienkāršota atjaunošana,Iecere,bis:BIS-BL-899096-119272
https://bis.gov.lv/bisp/lv/planned_constructions/899074,Mārupes novada Būvvalde,BIS-BL-899074-13957,Dzīvojamā māja,"Lejnieku iela 19, Mārupe, Mārupes nov., LV-2167",Jauna būvniecība,Iecere,bis:BIS-BL-899074-13957
https://bis.gov.lv/bisp/lv/planned_constructions/899048,Jūrmalas Būvvalde,BIS-BL-899048-23032,vienģimenes dzīvojamā māja,"Sūnu iela 4, Jūrmala, LV-2008",Jauna būvniecība,Iecere,bis:BIS-BL-899048-23032
https://bis.gov.lv/bisp/lv/planned_constructions/899039,Mārupes novada Būvvalde,BIS-BL-899039-13956,Saimniecības ēka,"Skaņā kalna iela 13/1, Mārupe, Mārupes nov., LV-2167",Jauna būvniecība,Iecere,bis:BIS-BL-899039-13956
https://bis.gov.lv/bisp/lv/planned_constructions/899035,Mārupes novada Būvvalde,BIS-BL-899035-13939,Dzīvojamā māja,"""Liepu Dzilnas"", Dzilnuciems, Babītes pag., Mārupes nov., LV-2107",Jauna būvniecība,Iecere,bis:BIS-BL-899035-13939
https://bis.gov.lv/bisp/lv/planned_constructions/898991,Siguldas novada būvvalde,BIS-BL-898991-20987,"Pirts ēkas būvniecība, Līdumnieki 1",,Jauna būvniecība,Būvdarbu uzsākšanas nosacījumu izpilde,bis:BIS-BL-898991-20987
https://bis.gov.lv/bisp/lv/planned_constructions/898971,Ādažu novada būvvalde,BIS-BL-898971-12401,Dzīvojamā ēka,"Druvas iela 2, Carnikava, Carnikavas pag., Ādažu nov., LV-2163",Jauna būvniecība,Iecere,bis:BIS-BL-898971-12401
https://bis.gov.lv/bisp/lv/planned_constructions/898923,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-898923-119321,Biroju ēka,"Raunas iela 10, Rīga, LV-1039",Vienkāršota atjaunošana,Iecere,bis:BIS-BL-898923-119321
https://bis.gov.lv/bisp/lv/planned_constructions/898893,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-898893-119384,gāzesvada pievads,"Mazā Zolitūdes iela 17, Rīga, LV-1029",Jauna būvniecība,Iecere,bis:BIS-BL-898893-119384
https://bis.gov.lv/bisp/lv/planned_constructions/898872,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-898872-119339,Noliktava,"Brīvības gatve 401C, Rīga, LV-1024",Vienkāršota pārbūve,Iecere,bis:BIS-BL-898872-119339
https://bis.gov.lv/bisp/lv/planned_constructions/898865,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-898865-119214,-,"Jēzusbaznīcas iela 7A, Rīga, LV-1050",Vienkāršota atjaunošana,Iecere,bis:BIS-BL-898865-119214
https://bis.gov.lv/bisp/lv/planned_constructions/898838,Ropažu novada pašvaldības būvvalde,BIS-BL-898838-12671,Udensvads D160,"Kaudzīšu iela 57, Rumbula, Stopiņu pag., Ropažu nov., LV-2121",Atjaunošana,Būvdarbu uzsākšanas nosacījumu izpilde,bis:BIS-BL-898838-12671
https://bis.gov.lv/bisp/lv/planned_constructions/898835,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-898835-119263,Dzīvoklis,"Aleksandra Čaka iela 72, Rīga, LV-1011",Vienkāršota atjaunošana,Iecere,bis:BIS-BL-898835-119263
https://bis.gov.lv/bisp/lv/planned_constructions/898766,RĪGAS VALSTSPILSĒTAS PAŠVALDĪBAS PILSĒTAS ATTĪSTĪBAS DEPARTAMENTS,BIS-BL-898766-119212,-,"Lielirbes iela 17A, Rīga, LV-1046",Vienkāršota pārbūve,Iecere,bis:BIS-BL-898766-119212
https://bis.gov.lv/bisp/lv/planned_constructions/898740,Ādažu novada būvvalde,BIS-BL-898740-12427,Dzīvojamā māja,"Zeduļu iela 9, Kadaga, Ādažu pag., Ādažu nov., LV-2103",Jauna būvniecība,Iecere,bis:BIS-BL-898740-12427
https://bis.gov.lv/bisp/lv/planned_constructions/898733,Ādažu novada būvvalde,BIS-BL-898733-12398,Dzīvojamā māja,"Ziedleju iela 3, Carnikava, Carnikavas pag., Ādažu nov., LV-2163",Jauna būvniecība,Iecere,bis:BIS-BL-898733-12398
