details_url,authority,bis_number,object,address,construction_type,phase,id
https://bis.gov.lv/bisp/lv/planned_constructions/96703,Jūrmalas Būvvalde,BIS-BL-96703-5794,"AS ""Sadales tīkls"" elektroietaises","Meža prospekts 14, Jūrmala, LV-2010",Jauna būvniecība,Būvdarbu uzsākšanas nosacījumu izpilde,bis:BIS-BL-96703-5794
https://bis.gov.lv/bisp/lv/planned_constructions/900448,Mārupes novada Būvvalde,BIS-BL-900448-13970,"Dīķa izbūve ""Bindari 3"", Varkaļos","""Bindari 3"", Varkaļi, Salas pag., Mārupes nov., LV-2105",Jauna būvniecība,Iecere,bis:BIS-BL-900448-13970
https://bis.gov.lv/bisp/lv/planned_constructions/900360,OLAINES NOVADA PAŠVALDĪBAS BŪVVALDE,BIS-BL-900360-15991,Nobrauktuve,,Jauna būvniecība,Iecere,bis:BIS-BL-900360-15991
https://bis.gov.lv/bisp/lv/planned_constructions/900300,Ādažu novada būvvalde,BIS-BL-900300-12425,Dzīvojamā māja,"Ezera iela 11, Siguļi, Carnikavas pag., Ādažu nov., LV-2163",Jauna būvniecība,Iecere,bis:BIS-BL-900300-12425
https://bis.gov.lv/bisp/lv/planned_constructions/900264,"Salaspils novada pašvaldības iestāde ""Salaspils novada Būvvalde""",BIS-BL-900264-11285,telpu grupa skaistumk.pakalpojumu sniegšanai,"Silmaļu iela 16, Salaspils, Salaspils nov., LV-2121",Vienkāršota pārbūve,Iecere,bis:BIS-BL-900264-11285
https://bis.gov.lv/bisp/lv/planned_constructions/900047,Siguldas novada būvvalde,BIS-BL-900047-21013,Saimniecības ēka,"""Vecrentes"", Lēdurgas pag., Siguldas nov., LV-4012",Jauna būvniecība,Iecere,bis:BIS-BL-900047-21013
https://bis.gov.lv/bisp/lv/planned_constructions/899964,"Salaspils novada pašvaldības iestāde ""Salaspils novada Būvvalde""",BIS-BL-899964-11272,-,"Vītolu iela 1-1, Salaspils, Salaspils nov., LV-2169",Vienkāršota atjaunošana,Iecere,bis:BIS-BL-899964-11272
https://bis.gov.lv/bisp/lv/planned_constructions/899802,Jūrmalas Būvvalde,BIS-BL-899802-23040,DZĪVOJAMĀ MĀJA - SAVRUPMĀJA,"Leona Paegles iela 34A, Jūrmala, LV-2011",Pārbūve,Iecere,bis:BIS-BL-899802-23040
https://bis.gov.lv/bisp/lv/planned_constructions/899736,Siguldas novada būvvalde,BIS-BL-899736-21001,"""Kases ēka""","""Loras parks"", Sigulda, Siguldas nov., LV-2150",Jauna būvniecība,Iecere,bis:BIS-BL-899736-21001
https://bis.gov.lv/bisp/lv/planned_constructions/899663,Ropažu novada pašvaldības būvvalde,BIS-BL-899663-12653,Dzīvojamā māja,"Muižas iela 2, Bukulti, Garkalnes pag., Ropažu nov., LV-1024",Jauna būvniecība,Iecere,bis:BIS-BL-899663-12653
https://bis.gov.lv/bisp/lv/planned_constructions/899646,OLAINES NOVADA PAŠVALDĪBAS BŪVVALDE,BIS-BL-899646-15990,Dzīvojamā ēka,"Siliņu iela 15, Jaunolaine, Olaines pag., Olaines nov., LV-2127",Jauna būvniecība,Iecere,bis:BIS-BL-899646-15990
https://bis.gov.lv/bisp/lv/planned_constructions/899642,Siguldas novada būvvalde,BIS-BL-899642-21000,Apartamentu viesnīca,"Ausekļa iela 2, Sigulda, Siguldas nov., LV-2150",Jauna būvniecība,Iecere,bis:BIS-BL-899642-21000
https://bis.gov.lv/bisp/lv/planned_constructions/899557,Siguldas novada būvvalde,BIS-BL-899557-20993,Garāža,"Pavasara iela 11, Sigulda, Siguldas nov., LV-2150",Jauna būvniecība,Iecere,bis:BIS-BL-899557-20993
https://bis.gov.lv/bisp/lv/planned_constructions/899293,Jūrmalas Būvvalde,BIS-BL-899293-23030,-,"30. līnija 1, Jūrmala, LV-2010",Vienkāršota atjaunošana,Iecere,bis:BIS-BL-899293-23030
https://bis.gov.lv/bisp/lv/planned_constructions/899239,Mārupes novada Būvvalde,BIS-BL-899239-13942,Divu dzīvokļu dzīvojamās mājas jaunbūve,"Cīniju iela 4, Piņķi, Babītes pag., Mārupes nov., LV-2107",Jauna būvniecība,Iecere,bis:BIS-BL-899239-13942
https://bis.gov.lv/bisp/lv/planned_constructions/899200,Ropažu novada pašvaldības būvvalde,BIS-BL-899200-12655,-,"""Zvaniņi"", Ropaži, Ropažu pag., Ropažu nov., LV-2135",Pārbūve,Iecere,bis:BIS-BL-899200-12655
https://bis.gov.lv/bisp/lv/planned_constructions/899193,OLAINES NOVADA PAŠVALDĪBAS BŪVVALDE,BIS-BL-899193-15963,Atpūtas namiņš,,Jauna būvniecība,Iecere,bis:BIS-BL-899193-15963
https://bis.gov.lv/bisp/lv/planned_constructions/899138,Ogres novada pašvaldības centrālās administrācijas Ogres novada būvvalde,BIS-BL-899138-16780,dzīvojamā māja,"Gobu iela 20, Ikšķile, Ogres nov., LV-5052",Jauna būvniecība,Iecere,bis:BIS-BL-899138-16780
https://bis.gov.lv/bisp/lv/planned_constructions/899125,Ropažu novada pašvaldības būvvalde,BIS-BL-899125-12656,Dzīvojamā māja,"Elzas iela 1, Baltezers, Garkalnes pag., Ropažu nov., LV-2164",Jauna būvniecība,Iecere,bis:BIS-BL-899125-12656
https://bis.gov.lv/bisp/lv/planned_constructions/899074,Mārupes novada Būvvalde,BIS-BL-899074-13957,Dzīvojamā māja,"Lejnieku iela 19, Mārupe, Mārupes nov., LV-2167",Jauna būvniecība,Iecere,bis:BIS-BL-899074-13957
https://bis.gov.lv/bisp/lv/planned_constructions/899048,Jūrmalas Būvvalde,BIS-BL-899048-23032,vienģimenes dzīvojamā māja,"Sūnu iela 4, Jūrmala, LV-2008",Jauna būvniecība,Iecere,bis:BIS-BL-899048-23032
https://bis.gov.lv/bisp/lv/planned_constructions/899039,Mārupes novada Būvvalde,BIS-BL-899039-13956,Saimniecības ēka,"Skaņā kalna iela 13/1, Mārupe, Mārupes nov., LV-2167",Jauna būvniecība,Iecere,bis:BIS-BL-899039-13956
https://bis.gov.lv/bisp/lv/planned_constructions/899035,Mārupes novada Būvvalde,BIS-BL-899035-13939,Dzīvojamā māja,"""Liepu Dzilnas"", Dzilnuciems, Babītes pag., Mārupes nov., LV-2107",Jauna būvniecība,Iecere,bis:BIS-BL-899035-13939
https://bis.gov.lv/bisp/lv/planned_constructions/898991,Siguldas novada būvvalde,BIS-BL-898991-20987,"Pirts ēkas būvniecība, Līdumnieki 1",,Jauna būvniecība,Būvdarbu uzsākšanas nosacījumu izpilde,bis:BIS-BL-898991-20987
https://bis.gov.lv/bisp/lv/planned_constructions/898971,Ādažu novada būvvalde,BIS-BL-898971-12401,Dzīvojamā ēka,"Druvas iela 2, Carnikava, Carnikavas pag., Ādažu nov., LV-2163",Jauna būvniecība,Iecere,bis:BIS-BL-898971-12401
https://bis.gov.lv/bisp/lv/planned_constructions/898838,Ropažu novada pašvaldības būvvalde,BIS-BL-898838-12671,Udensvads D160,"Kaudzīšu iela 57, Rumbula, Stopiņu pag., Ropažu nov., LV-2121",Atjaunošana,Būvdarbu uzsākšanas nosacījumu izpilde,bis:BIS-BL-898838-12671
